root@wcs01 # sar -u -f sa13

SunOS wcs01 5.10 Generic_142900-07 sun4u    09/13/2014

00:00:03    %usr    %sys    %wio   %idle
00:05:04      28      13       0      59
00:10:05      26      14       0      60
00:15:01      22      12       0      65
00:20:03      32      17       0      51
00:25:04      37      19       0      43
00:30:03      28      16       0      57
00:35:05      38      18       0      44
00:40:06      34      14       0      52
00:45:01      31      15       0      54
00:50:03      30      16       0      55
00:55:04      33      16       0      51
01:00:03      35      15       0      50
01:05:04      38      15       0      47
01:10:06      35      15       0      50
01:15:02      36      14       0      50
01:20:03      36      15       0      49
01:25:04      31      10       0      60
01:30:01      19       8       0      73
01:35:02      14       4       0      82
01:40:03      16       5       0      79
01:45:01      16       5       0      79
01:50:02      15       7       0      78
01:55:03      16       6       0      78
02:00:01      14       5       0      81
02:05:02      13       5       0      82
02:10:03      11       4       0      84
02:15:02      13       4       0      83
02:20:03      12       5       0      83
02:25:03      15       5       0      81
02:30:02      12       5       0      83
02:35:03      13       4       0      83
02:40:03      13       5       0      82
02:45:02      14       4       0      83
02:50:02      15       6       0      79
02:55:03      14       4       0      82
03:00:02      12       3       0      85
03:05:02      15       5       0      80
03:10:03      12       3       0      85
03:15:02      25       9       0      66
03:20:03      26      12       0      61
03:25:04      20       9       0      71
03:30:02      12       6       0      82
03:35:03      12       5       0      82
03:40:03      11       5       0      84
03:45:02      13       6       0      82
03:50:03      14       7       0      79
03:55:04      25      13       0      61
04:00:04      35      22       0      42
04:05:05      33      18       0      49
04:10:07      34      19       0      47
04:15:03      39      21       0      40
04:20:06      38      24       0      38
04:25:08      37      22       0      41
04:30:08      37      23       0      40
04:35:09      35      21       0      43
04:40:10      32      19       0      48
04:45:04      33      18       0      49
04:50:06      34      20       0      46
04:55:09      34      21       0      45
05:00:04      34      22       0      44
05:05:05      35      23       0      42
05:10:08      32      21       0      46
05:15:05      37      22       0      41
05:20:06      31      19       0      50
05:25:08      35      20       0      45
05:30:04      39      23       0      38
05:35:05      24      13       0      63
05:40:06       8       6       0      86
05:45:01      23      13       0      64
05:50:03      25      16       0      60
05:55:04      26      17       0      57
06:00:04      23      16       0      61
06:05:06      30      14       0      56
06:10:07      30      10       0      60
06:15:01      34      10       0      56
06:20:02      38      10       0      52
06:25:03      25       9       0      65
06:30:02      24       9       0      67
06:35:03      22       7       0      71
06:40:04      19       7       0      74
06:45:02      35      13       0      52
06:50:03      31      12       0      57
06:55:04      21      10       0      69
07:00:03      30      12       0      58
07:05:05      37      14       0      49
07:10:05      21       9       0      70
07:15:02      12       5       0      83
07:20:02      12       6       0      82
07:25:07      48      18       0      33
07:30:17      58      32       0      10
07:35:19      37      19       0      43
07:40:24      56      31       0      13
07:45:21      57      28       0      15
07:50:25      51      26       0      23
07:55:26      56      27       0      16
08:00:05      40      21       0      39
08:05:06      51      23       0      26
08:10:08      48      23       0      29
08:15:02      31      16       0      53
08:20:04      40      14       0      46
08:25:05      49      16       0      35
08:30:02      36      16       0      48
08:35:03      22      12       0      66
08:40:04      18       9       0      72
08:45:01      18       8       0      74
08:50:04      34      14       0      51
08:55:05      43      18       0      39
09:00:02      23      12       0      65
09:05:03      25      12       0      63
09:10:04      16       9       0      76
09:15:01      16       6       0      78
09:20:02      18       9       0      73
09:25:03      17       8       0      75
09:30:01      15       6       0      79
09:35:02      16       7       0      76
09:40:03      15       7       0      79
09:45:01      18       7       0      75
09:50:02      17       8       0      75
09:55:03      18       9       0      73
10:00:02      16       9       0      75
10:05:03      28      13       0      59
10:10:04      21       9       0      71
10:15:02      26      10       0      64
10:20:03      26      11       0      63
10:25:04      27       9       0      63
10:30:02      22       9       0      69
10:35:03      18       8       0      74
10:40:04      19       9       0      72
10:45:01      22       8       0      69
10:50:03      21      10       0      70
10:55:04      25      12       0      64
11:00:03      29      12       0      59
11:05:04      36      15       0      48
11:10:05      22      10       0      68
11:15:02      23       9       0      68
11:20:03      25      11       0      64
11:25:04      24       9       0      68
11:30:02      19      10       0      71
11:35:03      22      12       0      66
11:40:04      19      11       0      70
11:45:01      22      10       0      68
11:50:02      19      10       0      71
11:55:03      24      16       0      60
12:00:03      19      13       0      68
12:05:04      40      20       0      40
12:10:05      21      13       0      66
12:15:01      20      12       0      67
12:20:02      29      18       0      53
12:25:04      34      16       0      50
12:30:02      22      14       0      64
12:35:04      18      12       0      70
12:40:04      16      11       0      73
12:45:02      25      12       0      64
12:50:03      20      13       0      66
12:55:04      20      15       0      65
13:00:02      16      11       0      73
13:05:03      33      17       0      50
13:10:04      24      14       0      63
13:15:01      18      11       0      71
13:20:03      22      14       0      64
13:25:04      26      13       0      61
13:30:02      20      12       0      67
13:35:03      23      13       0      63
13:40:04      18      11       0      71
13:45:01      22      12       0      67
13:50:02      19      13       0      68
13:55:03      19      15       0      66
14:00:03      16      12       0      72
14:05:04      43      20       0      38
14:10:05      33      17       0      50
14:15:02      40      15       0      45
14:20:04      47      18       0      35
14:25:05      48      17       0      35
14:30:03      44      14       0      42
14:35:04      52      14       0      34
14:40:05      43      14       0      43
14:45:02      30      13       0      57
14:50:03      22      12       0      66
14:55:04      20      15       0      64
15:00:03      14      11       0      74
15:05:04      27      14       0      59
15:10:05      25      14       0      61
15:15:01      23      13       0      65
15:20:02      26      15       0      58
15:25:03      26      15       0      58
15:30:02      20      14       0      67
15:35:03      20      12       0      68
15:40:04      19      13       0      68
15:45:02      22      13       0      65
15:50:03      20      13       0      67
15:55:04      26      17       0      58
16:00:02      20      14       0      66
16:05:04      29      18       0      53
16:10:05      27      16       0      57
16:15:02      25      14       0      62
16:20:04      28      16       0      56
16:25:05      25      13       0      62
16:30:03      19      12       0      68
16:35:04      22      12       0      66
16:40:05      23      13       0      63
16:45:02      23      12       0      64
16:50:03      21      14       0      65
16:55:04      22      16       0      63
17:00:02      17      15       0      68
17:05:03      22      14       0      63
17:10:04      20      14       0      65
17:15:01      26      12       0      62
17:20:03      33      17       0      50
17:25:03      32      16       0      51
17:30:03      26      14       0      60
17:35:04      25      14       0      61
17:40:05      18      13       0      69
17:45:01      20      12       0      68
17:50:02      18      13       0      70
17:55:03      24      17       0      60
18:00:02      21      15       0      64
18:05:04      24      17       0      58
18:10:05      25      15       0      60
18:15:02      33      15       0      53
18:20:06      43      18       0      39
18:25:07      38      19       0      43
18:30:03      21      14       0      66
18:35:04      20      12       0      68
18:40:05      20      14       0      66
18:45:01      17      11       0      72
