SunOS wcs01 5.10 Generic_142900-07 sun4u    09/14/2014

00:00:02    %usr    %sys    %wio   %idle
00:05:03      23      13       0      64
00:10:04      23      13       0      64
00:15:01      22      13       0      65
00:20:02      26      14       0      60
00:25:04      27      14       0      59
00:30:02      19      10       0      71
00:35:03      33      14       0      53
00:40:04      17      11       0      73
00:45:02      18      10       0      73
00:50:03      19      11       0      70
00:55:04      30      15       0      55
01:00:02      25      12       0      63
01:05:03      32      15       0      54
01:10:05      31      15       0      54
01:15:01      29      13       0      58
01:20:02      24      12       0      65
01:25:03      26      12       0      63
01:30:01      18       9       0      73
01:35:02      21      11       0      69
01:40:03      14       8       0      78
01:45:01      12       5       0      84
01:50:02      10       7       0      83
01:55:03       7       6       0      87
02:00:02       8       5       0      87
02:05:03      10       5       0      85
02:10:04       9       5       0      85
02:15:02      16       5       0      78
02:20:03      12       5       0      83
02:25:03      16       5       0      79
02:30:02      13       5       0      82
02:35:03      16       6       0      78
02:40:04      13       5       0      82
02:45:01      14       4       0      81
02:50:02      15       7       0      79
02:55:03      15       5       0      81
03:00:01      13       5       0      82
03:05:02      14       5       0      81
03:10:03      10       4       0      86
03:15:02      21       9       0      70
03:20:03      20      11       0      70
03:25:04      14       7       0      79
03:30:01      12       6       0      82
03:35:02      13       7       0      80
03:40:03      13       6       0      81
03:45:01      21       7       0      72
03:50:04      22      12       0      66
03:55:06      34      21       0      45
04:00:01      31      21       0      48
04:05:03      33      18       0      49
04:10:05      36      22       0      41
04:15:06      34      21       0      45
04:20:07      30      20       0      50
04:25:09      32      21       0      48
04:30:03      25      18       0      57
04:35:04      29      19       0      52
04:40:06      26      18       0      56
04:45:03      28      18       0      53
04:50:05      23      18       0      60
04:55:07      33      22       0      45
05:00:04      26      19       0      55
05:05:08      27      20       0      52
05:10:10      27      21       0      52
05:15:02      27      19       0      54
05:20:03      27      19       0      54
05:25:04      23      16       0      61
05:30:03      29      17       0      54
05:35:04      28      16       0      57
05:40:05      10       6       0      84
05:45:02      20      12       0      68
05:50:03      21      14       0      65
05:55:05      25      17       0      59
06:00:04      20      14       0      66
06:05:06      29      15       0      56
06:10:07      32      12       0      56
06:15:02      32      10       0      58
06:20:03      30      11       0      60
06:25:04      28      10       0      62
06:30:03      33      10       0      57
06:35:04      28      10       0      62
06:40:05      22       7       0      71
06:45:02      21       9       0      70
06:50:03      26      11       0      63
06:55:04      18      10       0      71
07:00:03      17      10       0      73
07:05:04      24      11       0      65
07:10:05      21      11       0      68
07:15:01      22      10       0      67
07:20:02      14       7       0      79
07:25:03      12       6       0      82
07:30:02      12       8       0      80
07:35:03      25      12       0      63
07:40:05      31      16       0      54
07:45:02      42      22       0      35
07:50:05      53      31       0      16
07:55:06      43      25       0      32
08:00:04      30      16       0      53
08:05:05      32      14       0      54
08:10:06      47      19       0      33
08:15:03      50      23       0      27
08:20:05      31      14       0      55
08:25:06      27      12       0      61
08:30:07      39      21       0      41
08:35:17      61      23       0      16
08:40:18      54      18       0      28
08:45:04      50      21       0      29
08:50:05      33      18       0      49
08:55:06      22      16       0      63
09:00:06      27      19       0      54
09:05:07      40      24       0      36
09:10:08      33      20       0      47
09:15:01      37      17       0      47
09:20:03      33      18       0      49
09:25:04      33      13       0      54
09:30:01      25      11       0      64
09:35:02      30      11       0      58
09:40:03      28      11       0      61
09:45:01      24      10       0      65
09:50:02      31      13       0      56
09:55:03      30      16       0      54
10:00:03      20      12       0      68
